id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
SGDD08899,Project Acai,Project Acai - Vivocity,Singapore,SGD,470.0,1.2636672701191145,103.82236151798212,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD08899/hero/upload-photo-Hero_Photo_9636cb9e6a314fa2b23a468823312c7f_1554953187035186282.jpeg,5000,4.5,319.0,DELIVERY_DINEIN,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,34.0,True,12:00-20:00,11:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,,Healthy,Beverages,Vegetarian,,,Livraison et sur place
SGDD06457,The Soup Spoon,The Soup Spoon - Harbourfront Centre,Singapore,SGD,409.0,1.264274165113477,103.82019676918742,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD06457/hero/52e963d43bd4405789abfb9f4497000a_1601436948033983889.jpeg,3000,4.4,199.0,ONLY_DELIVERY,$0 Delivery Fee (min. $20 spend)!,FOOD,GRAB,41.0,True,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,,Halal,Chicken,Healthy,Salad,Western,Livraison uniquement
4-CZKBVNBKJB63CT,Arbora Garden and Bistro,Arbora Garden and Bistro - Faber Peak,Singapore,SGD,710.0,1.2713359,103.81932634232888,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKBVNBKJB63CT/hero/cbe22bbf39af4d239e1e4a862a4d0e81_1592193032903600049.jpg,5000,5.0,1.0,DELIVERY_TAKEAWAY,S$5.00 off with S$25.00 min. order,FOOD,GRAB,52.0,True,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,,Asian,Same Prices In-Store,Salad,Pasta,Western,Livraison et à emporter
4-C2NJEU6VTVNBBA,Kekito Low Carb and Keto,Kekito Low Carb &  Keto - Everton Park,Singapore,SGD,650.0,1.27705385592198,103.838590160427,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NJEU6VTVNBBA/hero/1e19ff7712f84706bb2fbcba5a68b9bf_1618889321763612758.jpeg,5000,3.0,1.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,33.0,True,11:00-16:00,11:00-14:00,Closed,14:00-19:00,14:00-19:00,14:00-19:00,14:00-19:00,11:00-16:00,,Bakery & Cake,Dessert,Healthy,Local,Health & Wellness,Livraison et à emporter
4-CZD3NKXCCVKKHA,The Kitchen Table,The Kitchen Table - W Singapore Sentosa Cove,Singapore,SGD,870.0,1.246307011,103.8423332,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD3NKXCCVKKHA/hero/ee4cb0b491a64f22998a4efc1e2dd4f6_1588050867587494213.jpeg,2500,5.0,,DELIVERY_TAKEAWAY,,FOOD,GRAB,41.0,True,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,,Asian,Bakery,Healthy,,,Livraison et à emporter
4-CZKCUAXBA2A3AJ,Oh Some Bowls,Oh Some Bowls - Tanjong Pagar Plaza,Singapore,SGD,500.0,1.27547482,103.84289365,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKCUAXBA2A3AJ/hero/47518758d22f45d6913a5d52664f30e7_1592288285480248344.jpg,3000,4.5,57.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,40.0,True,11:00-16:00,Closed,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-16:00,,Japanese,Middle Eastern,Salad,,,Livraison et à emporter
4-CZEKGTDCL4AFEX,Dimbulah Grains,Dimbulah CHOPPED Salads & Pasta - Anson House,Singapore,SGD,500.0,1.2736432,103.84465131918326,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEKGTDCL4AFEX/hero/05d60854c13d42b6a8151b68bef5c33d_1592474223576714065.jpeg,5000,4.2,20.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,31.0,True,10:00-19:45,10:00-19:45,10:00-19:45,10:00-19:45,10:00-19:45,10:00-19:45,10:00-19:45,10:00-19:45,,Healthy,Pasta,Vegetarian Friendly,Kids Friendly,Salad,Livraison et à emporter
SGDD01974,Salmon Samurai,Salmon Samurai - 100AM,Singapore,SGD,490.0,1.2747646,103.84379545555556,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01974/hero/upload-photo-Hero_Photo_ba6e0daaad0343fca9fbfe29c2187408_1555472935924456478.jpeg,5000,4.5,555.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,40.0,True,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,,Japanese,Seafood,Healthy,Islandwide Delivery,,Livraison et à emporter
4-C2L1WCNYCU5GDE,Ji Xiang Everton Ang Ku Kueh,Ji Xiang Everton Ang Ku Kueh - Everton Park,Singapore,SGD,650.0,1.277449,103.840058,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2L1WCNYCU5GDE/hero/33503c6a57304cf4ab9aa25da1344d90_1615882264471558565.jpeg,5000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,33.0,True,12:00-17:00,Closed,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,,Chinese,Snack,Vegetarian,Dessert,Singaporean,Livraison et à emporter
4-CZD2ABA2TCMUVE,Ristorante Luka,Ristorante Luka - Tanjong Pagar Road [Islandwide Delivery],Singapore,SGD,580.0,1.2799078,103.84392642884328,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD2ABA2TCMUVE/hero/e0ba0ed630334e3d9d8513be7e1925c4_1590746686446810402.jpeg,25000,4.2,60.0,DELIVERY_TAKEAWAY,20% off Soft Drinks,FOOD,GRAB,49.0,True,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,,Italian,Pasta,Salad,Pizza,Western,Livraison et à emporter
