id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
SGDD06403,LeNu,LeNu - Vivocity,Singapore,SGD,750.0,1.2635350491203212,103.82192259004997,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD06403/hero/3f52a24e4f1b4c13b82b4fc59c231e22_1577414854229387116.jpeg,5000,4.6,428.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,41.0,True,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,,Asian,Noodles,Chinese,,,Livraison et à emporter
4-CYT3AJMJANWCTE,Eng's Wantan Noodle,Eng's Wantan Noodle - Vivocity,Singapore,SGD,570.0,1.265035714582453,103.82270114501722,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYT3AJMJANWCTE/hero/3db019bda5904981bb80a7b3ecd2690a_1567408000123737111.jpeg,5000,4.0,157.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,45.0,True,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,,Noodles,Local,Chinese,,,Livraison et à emporter
SGDD03059,So Pho,So Pho - VivoCity,Singapore,SGD,409.0,1.2635919134240237,103.82109845,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD03059/hero/7cb666ecb6d097270461c3d071af96de-w550-b9.jpg,3000,4.5,588.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,43.0,True,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,,Halal,Noodles,Vietnamese,Same Prices In-Store,Dessert,Livraison et à emporter
SGDD09210,Dian Xiao Er,Dian Xiao Er - VivoCity,Singapore,SGD,710.0,1.263687,103.821961,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09210/hero/51d78ccc898c449fb2d347103344083d_1598367339163525640.jpeg,5000,4.5,756.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,44.0,True,11:01-20:28,11:30-21:30,11:30-14:30 16:30-21:00,11:30-14:30 16:30-21:00,11:30-14:30 16:30-21:00,11:30-14:30 16:30-21:00,11:30-14:30 16:30-21:00,11:30-21:30,,Chinese,Chicken,Asian,,,Livraison et à emporter
4-CZKKEB5VNNKKEA,Fu Xiang Signatures,Fu Xiang Signatures - Vivocity,Singapore,SGD,570.0,1.26474,103.82211016789236,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKKEB5VNNKKEA/hero/ff835af5013c42b0ad6a0edc211242ca_1622280175073536409.jpeg,5000,4.5,15.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,42.0,True,10:00-20:30,10:00-20:30,10:00-20:40,10:00-20:40,10:00-20:40,10:00-20:40,10:00-20:30,10:00-20:30,,Local,Asian,Chinese,,,Livraison et à emporter
4-CYNFTB5HV4CXME,Go-Ang Pratunam Chicken Rice,Go-Ang Pratunam Chicken Rice - Vivocity,Singapore,SGD,570.0,1.26478055,103.8219499,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNFTB5HV4CXME/hero/e344367598c54c5dac5da0e68d60d01d_1558597048293378304.jpeg,5000,4.0,155.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,39.0,True,11:00-20:30,11:00-20:30,11:30-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,,Chicken,Local,Asian,Halal,,Livraison et à emporter
4-CYNXNEEDJ4JFHA,Eureka Popcorn,Eureka Popcorn - Vivocity,Singapore,SGD,199.0,1.2648009,103.82226062727273,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNXNEEDJ4JFHA/hero/8bc6bfdf128742bd9578bec4fa9c4953_1559543838165375476.jpeg,10000,4.6,43.0,ONLY_DELIVERY,,MART,GRAB,34.0,True,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,,Mart,Snacks,Asian,Dessert,Islandwide Delivery,Livraison uniquement
4-CY3XJE6XFBWTAJ,Mrs Pho,Mrs Pho - Vivocity,Singapore,SGD,560.0,1.2648186378877426,103.8214929473922,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY3XJE6XFBWTAJ/hero/1f3262b8b88d46bebeff40efae99e809_1573444502651686846.jpeg,5000,4.1,137.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,41.0,True,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,,Vietnamese,Seafood,Asian,Beverages,Noodles,Livraison et à emporter
4-C2BWMEKYLJAFAA,Sakana Burritos,Sakana Burritos - Harbourfront Centre,Singapore,SGD,570.0,1.2647647821794863,103.82021044693876,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2BWMEKYLJAFAA/hero/12ffe13c306240948f4434a8ebf56e2c_1603415732263774991.jpeg,5000,5.0,1.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,44.0,True,11:00-21:30,11:00-21:30,11:30-20:45,11:30-20:45,11:30-20:45,11:30-20:45,11:30-21:30,11:00-21:30,,Asian,Japanese,Sushi,,,Livraison et à emporter
4-C2JDLA2WCLDWC6,Teppanyaki Omu Curry Rice & Donburi,Teppanyaki Omu Curry Rice & Donburi - Vivocity,Singapore,SGD,560.0,1.264641,103.821266,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JDLA2WCLDWC6/hero/42f699cae3c849c9867476513cf19db8_1610359120869633128.jpeg,5000,4.0,14.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,41.0,True,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,,Asian,Japanese,Rice dishes,Noodles,,Livraison et à emporter
