id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
4-C2L2AKNYEENBVX,Heytea,HEYTEA Vivo City [Islandwide Delivery],Singapore,SGD,7.3,1.2638843019529418,103.82220139872652,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2L2AKNYEENBVX/hero/42b723d17d2a4fcdb77dbe69cb249bdb_1622077801337550098.jpeg,25000,4.6,103.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,45.0,True,11:00-22:00,11:00-22:00,12:00-21:20,12:00-21:20,12:00-21:30,12:00-21:20,11:00-21:50,11:00-22:00,,Beverages,Bubble Tea,Coffee & Tea,Dessert,,Livraison et à emporter
4-C2AYHEVGE3CHT6,Food Republic,Food Republic - VivoCity,Singapore,SGD,4.09,1.2648058,103.82205452222225,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2AYHEVGE3CHT6/hero/17f6db1c827f416eb7fc89aa8f1c5852_1602229380167949103.jpeg,3000,4.2,289.0,ONLY_DELIVERY,$0 Delivery Fee (min. $28 spend)!,FOOD,GRAB,44.0,True,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,,Local,Singaporean,Beverages,,,Livraison uniquement
4-CZATRPEGSALZC6,Xpressflower.com,Xpressflower - Vivocity,Singapore,SGD,5.5,1.2635557,103.8215475,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZATRPEGSALZC6/hero/d8f7e66db4294211b09a1c7fe8a364da_1581314241689892559.jpeg,10000,4.7,42.0,ONLY_DELIVERY,,MART,GRAB,34.0,True,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,,Local,Flowers,Mart,,,Livraison uniquement
SGDD11680,Carl's Jr.,Carl's Jr. - Vivocity,Singapore,SGD,4.7,1.2640364249148348,103.822801446811,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11680/hero/d5800275dfe04ec887b6ef53da075db6_1576473337901489693.jpeg,3000,4.2,860.0,ONLY_DELIVERY,,FOOD,GRAB,41.0,True,10:00-21:30,10:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,10:00-21:30,,Western,Fast Food,Snack,Burger,,Livraison uniquement
4-CYWJRYJDRCBKNX,Thai Accent,Thai Accent - Vivocity [Islandwide Delivery],Singapore,SGD,6.6,1.2637835885747677,103.82144695247808,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYWJRYJDRCBKNX/hero/239f5961bd8748e7b4fb45a064bfa50d_1566897444481219095.jpg,25000,4.2,135.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,44.0,True,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,,Thai,Seafood,Beverages,Islandwide Delivery,,Livraison et à emporter
4-CZD2C8AJEYAWEX,SF Fruits & Juices,SF Fruits & Juices - Vivo City,Singapore,SGD,1.99,1.2647901,103.8221117,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD2C8AJEYAWEX/hero/a09406dd43204223a7bcc220293561da_1619433378011390713.png,5000,4.3,27.0,ONLY_DELIVERY,,MART,GRAB,37.0,True,09:00-22:00,09:00-20:30,10:00-20:00,10:00-20:00,10:00-20:00,09:00-22:00,09:00-22:00,09:00-22:00,,Fruit,Groceries,Mart,,,Livraison uniquement
4-CZJ1NNW2KBXBFE,Unity,Unity - Vivocity,Singapore,SGD,5.0,1.26408665,103.82306004285714,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJ1NNW2KBXBFE/hero/2c715ba5263b4e83b093f31ddc88e480_1593416392037123764.jpeg,4000,4.6,15.0,ONLY_DELIVERY,Discounted Items,MART,GRAB,34.0,True,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,,Pharmacy,Wellness,Mart,Health & Beauty,Pharmacy/Health,Livraison uniquement
4-C2E2ELN1PFKFNX,Beryl's,Beryl's - Harbourfront Centre,Singapore,SGD,1.99,1.2647713333333332,103.82001019166668,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2E2ELN1PFKFNX/hero/f13298a76eb949b0901b77ce9a4efa71_1610343778086619419.jpeg,10000,,,ONLY_DELIVERY,,MART,GRAB,37.0,True,11:00-20:45,11:00-20:45,11:00-20:45,11:00-20:45,11:00-20:45,11:00-20:45,10:30-20:45,11:00-20:45,,Gifts,Snacks,Mart,,,Livraison uniquement
4-CZKXA2TJR3NZT2,Cheers (FairPrice Xpress),Cheers (FairPrice Xpress) - VivoCity,Singapore,SGD,5.0,1.2653364289618452,103.8223122525228,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKXA2TJR3NZT2/hero/72aedd3df5fd4ec1b49fa72a1768cf66_1621875391326505958.jpg,2862,4.8,37.0,ONLY_DELIVERY,,MART,GRAB,40.0,True,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,,Grocery,Groceries,Mart,Convenience,,Livraison uniquement
4-CZD3UBTUE3ATET,Juiceland,Juiceland - Harbourfront Centre,Singapore,SGD,5.7,1.26471053090672,103.82008666666668,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD3UBTUE3ATET/hero/b34066429ff24d05b40b35d4c4da9f47_1588243856220578590.jpeg,5000,4.4,9.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,38.0,True,09:00-18:55,09:00-18:55,09:00-18:55,09:00-18:55,09:00-18:55,09:00-18:55,09:00-18:55,09:00-18:55,,Health & Wellness,Healthy,Beverages,,,Livraison et à emporter
4-C2TTNJMYDCJUR2,The Pup's Boutique,The Pup's Boutique - Silat Avenue,Singapore,SGD,5.8,1.27722,103.83106,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TTNJMYDCJUR2/hero/44173c4a5d6945339e9538b37889ebec_1621125135249179328.jpeg,5000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,32.0,True,11:00-19:00,11:00-19:00,Closed,Closed,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,,Asian,Bakery & Cake,Coffee & Tea,Pasta,Pet Food,Livraison et à emporter
4-C2TVEZMALRLVNJ,@3,@3 - Kampong Bahru Road,Singapore,SGD,6.0,1.2765941093862,103.835871834728,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TVEZMALRLVNJ/hero/7a01bd68304f4452bc44e2db0222116e_1621263928388570305.png,5000,5.0,,DELIVERY_TAKEAWAY,S$3.00 off delivery fee with S$30.00 min. order,FOOD,GRAB,39.0,True,08:00-20:00,08:00-20:00,08:00-14:00,Closed,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Beverages,Breakfast & Brunch,Coffee & Tea,Sandwiches,Same Prices In-Store,Livraison et à emporter
4-C2NZRULFJY3YC6,Kopomall,Kopomall - Telok Blangah Rise [Islandwide Delivery],Singapore,SGD,5.8,1.27301145237614,103.820355635293,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NZRULFJY3YC6/hero/1cb2e4cd33124d59b18d7ff430352e76_1619674545517214297.jpg,25000,,,ONLY_DELIVERY,5% off Children Toys,MART,GRAB,37.0,True,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,Gifts,Kids Friendly,Mart,Toys,,Livraison uniquement
4-CZLYT6VHWGAXRT,Everton Minimart,Everton Minimart - Everton Park[Islandwide Delivery],Singapore,SGD,8.4,1.2768961666666667,103.83923008824787,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLYT6VHWGAXRT/hero/2229fa53cf7740a089683e068e49429c_1595587251303606848.jpg,10000,4.5,106.0,ONLY_DELIVERY,"Enjoy 20% off min. spend $25 with promo code ""GROCERIES""!",MART,GRAB,41.0,True,10:30-23:30,Closed,10:30-23:30,Closed,10:30-23:30,Closed,10:30-23:30,10:30-23:30,,Snacks,Alcohol,Mart,Groceries,Beverages,Livraison uniquement
4-CZJKTTC1SBBKVA,Medic Drugstore,Medic Drugstore - Tanjong Pagar Plaza,Singapore,SGD,6.3,1.2747783333333331,103.84271252,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJKTTC1SBBKVA/hero/400358dd7914434599ac72d943ecf0fc_1591955951530591628.jpeg,10000,4.8,15.0,ONLY_DELIVERY,,MART,GRAB,38.0,True,08:45-16:40,Closed,08:45-18:15,08:45-18:15,08:45-18:15,08:45-18:15,08:45-18:15,08:45-16:40,,Wellness,Health & Wellness,Mart,Pharmacy/Health,,Livraison uniquement
SGDD02145,Woobbee,Woobbee - Tanjong Pagar,Singapore,SGD,5.0,1.2754156,103.84295571856998,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD02145/hero/Woobbee_Hero_960x540.jpg,3000,4.6,368.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,39.0,True,11:00-18:15,Closed,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,11:00-18:15,,Beverages,Coffee,Bubble Tea,Tea,,Livraison et à emporter
4-CYXVJFUGT3XCLA,Lickers,Lickers - Mount Faber Green,Singapore,SGD,5.9,1.2780276,103.81855132,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYXVJFUGT3XCLA/hero/b481bee5211a44149c8acf4cacc36c36_1569317838506365233.png,5000,4.7,165.0,DELIVERY_TAKEAWAY_DINEIN,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,42.0,True,00:00-01:00 12:00-23:59,00:00-01:00 12:00-23:59,Closed,13:00-23:59,00:00-01:00 13:00-23:59,00:00-01:00 13:00-23:59,00:00-01:00 12:00-23:59,00:00-01:00 12:00-23:59,,Dessert,Ice Cream,Mart,,,Livraison à emporter et sur place
4-C2CGLNVETB4FHE,Happy Cup,Happy Cup - 100 AM,Singapore,SGD,4.9,1.274611885,103.8434696,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CGLNVETB4FHE/hero/cc2f06d6b0a44d8682767ca6f4890af3_1604661118448191766.jpeg,3000,5.0,14.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,37.0,True,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,,Beverages,Bubble Tea,Tea,,,Livraison et à emporter
SGDD00802,Mission Juice,Mission Juice - Icon Village,Singapore,SGD,5.0,1.2755953,103.84463251059078,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00802/hero/2b313cdfc717e4f1a7ce407bff95b503,3000,4.3,6.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,37.0,True,12:00-17:00,Closed,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,12:00-17:00,,Beverages,Smoothies,Juice,,,Livraison et à emporter
SGDD01934,Populus Food & Coffee Co.,Populus Food & Coffee Co. [Islandwide Delivery],Singapore,SGD,6.4,1.2780792,103.8407983,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01934/hero/aa5f01de5098b6fb8bbfac82b046d1b8,25000,4.4,230.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,37.0,True,09:00-19:45,09:00-19:45,09:00-17:45,09:00-17:45,09:00-19:45,09:00-19:45,09:00-19:45,09:00-19:45,,Coffee,Breakfast & Brunch,Beverages,Islandwide Delivery,Cold Brew,Livraison et à emporter
4-C2BTTYMBTXMCBE,Bara,Bara - Icon Village,Singapore,SGD,4.9,1.27480282,103.84456296,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2BTTYMBTXMCBE/hero/68289a5533404c73adb3de7dd6ad7754_1603085561970471771.jpg,3000,4.0,7.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,48.0,True,11:30-20:00,11:30-20:00,11:30-16:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,,Indonesian,Soup,Drinks,,,Livraison et à emporter
4-C2E1N6CBKAMKGA,Laik Craft Beers And Bar,Laik Craft Beers And Bar - Tanjong Pagar Plaza,Singapore,SGD,5.0,1.2766283333333337,103.843625,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2E1N6CBKAMKGA/hero/65101abd6ac34ba7915a8a065136f763_1609767041599904939.jpg,3000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,33.0,True,14:00-17:00,Closed,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-17:00,,Asian,Sandwiches,Beverages,,,Livraison et à emporter
SGDD06735,Bearded Bella,Bearded Bella - Tanjong Pagar [Islandwide Delivery],Singapore,SGD,5.1,1.27751094,103.84285793825543,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD06735/hero/DSC_9212.jpg,25000,4.5,132.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,45.0,True,07:30-17:30,07:30-17:30,07:30-16:30,07:30-16:30,07:30-16:30,07:30-16:30,07:30-17:00 17:00-22:00,07:30-17:30,,Local,Islandwide Delivery,Cold Brew,Roasted Coffee Beans,,Livraison et à emporter
