id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
4-CYTDLPUJEP53N6,Subway,Subway - Vivocity,Singapore,SGD,5.7,1.2647407805011284,103.82207197855752,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTDLPUJEP53N6/hero/601bd8a969624330a58204fee4dc617f_1576205922749088805.png,3000,4.2,197.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,42.0,True,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,12:00-19:00,,Healthy,Sandwiches,Fast Food,Halal,Western,Livraison uniquement
SGDD07548,Wingstop,Wingstop - VivoCity,Singapore,SGD,5.6,1.263526797990238,103.8217115875525,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07548/hero/9909969e0e2249e2bb30b2e21003dc46_1589179310844775300.jpeg,5000,4.4,1391.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,45.0,True,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,,Halal,Chicken,Fast Food,Burger,Western,Livraison uniquement
SGDD12027,Morettino Italian Cafe & Bistro,Morettino Italian Cafe & Bistro - 100 AM Mall,Singapore,SGD,4.9,1.274593605245832,103.84338012173752,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD12027/hero/819d081be91d410eb791babd6c5b6302_1562571117734967257.jpeg,3000,3.2,32.0,DELIVERY_TAKEAWAY,Get a free Margherita  with S$75.00 min. order,FOOD,GRAB,40.0,True,10:45-22:45,10:45-22:00,10:45-22:30,10:45-22:00,10:45-22:25,10:45-22:30,10:45-23:00,10:45-22:45,,Same Prices In-Store,Italian,Pizza,Alcohol,Pasta,Livraison et à emporter
4-C2TYCAVWG76CKA,Simply Thai Mookata,Simply Thai Mookata - Tanjong Pagar Complex,Singapore,SGD,6.4,1.2719454,103.8424175,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TYCAVWG76CKA/hero/445e658ce3dd4b0e8f6e4a1717ae68bd_1621584124419372046.jpeg,5000,,,DELIVERY_TAKEAWAY,10% off with S$20.00 min. order,FOOD,GRAB,39.0,True,11:00-19:00,Closed,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,,Asian,Chinese,Fast Food,Local,Thai,Livraison et à emporter
SGDD10632,Kith Cafe,Kith Cafe - Spottiswoode Park Road,Singapore,SGD,6.2,1.277023,103.8370148,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10632/hero/400db72f46b64b9fa2192b68676e6ade_1573197863148278007.jpeg,5000,4.4,189.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,40.0,True,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,,Western,Dessert,Pizza,Kids Friendly,,Livraison et à emporter
4-CZCAV4KUJU4URJ,Canadian Pizza,Canadian Pizza - Kampong Bahru Road,Singapore,SGD,7.9,1.2762709598548128,103.83552111017896,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCAV4KUJU4URJ/hero/d3dbf1711e094211b20a26d07ac3a59a_1604999272924710539.png,3000,4.2,359.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,45.0,True,00:00-02:30 10:00-23:59,00:00-02:30 10:00-23:59,00:00-02:30 10:00-23:59,00:00-02:30 10:00-23:59,00:00-02:30 10:00-23:59,00:00-02:30 10:00-23:59,00:00-02:30 10:00-23:59,00:00-02:30 10:00-23:59,,Pizza,Western,Fast Food,Halal,,Livraison et à emporter
4-C2DXCK6URFN1AJ,Puteca Abate,Puteca Abate - The Working Capitol,Singapore,SGD,6.5,1.2788029,103.84158748,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DXCK6URFN1AJ/hero/ad38c78ec05949e98b8339e9bc363481_1608602361617705861.jpeg,3000,5.0,7.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,40.0,True,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,,Italian,Pasta,Pizza,Sandwiches,Western,Livraison et à emporter
4-C2N1R6CENYV1NJ,RC Western Grill,RC Western Grill - Tiong Bahru Food Centre,Singapore,SGD,6.2,1.28142256,103.823135,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2N1R6CENYV1NJ/hero/979571d5609e40059f1f25fd7385825e_1619777044761299070.jpg,5000,,,DELIVERY_TAKEAWAY,20% off Poor t5,FOOD,GRAB,41.0,True,11:00-20:00,Closed,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,,Local,Western,Burger,,,Livraison et à emporter
4-CY5TWEJ1JUBJGT,d.o.c,d.o.c - Tanjong Pagar Road [Islandwide Delivery],Singapore,SGD,9.6,1.2794944180037362,103.84401755670206,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY5TWEJ1JUBJGT/hero/28b77728c33644eb95256acd2d21e80d_1577345845785235922.jpeg,25000,4.0,86.0,ONLY_DELIVERY,,FOOD,GRAB,45.0,True,11:30-21:30,11:30-21:30,Closed,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,,Italian,Pasta,Pizza,Islandwide Delivery,,Livraison uniquement
4-CZE3NK3DNNKFL6,O.BBa BBQ,O.BBa BBQ - Tanjong Pagar Road [Islandwide Delivery],Singapore,SGD,8.8,1.278326,103.843829,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZE3NK3DNNKFL6/hero/f5da645fc19142e395a24225a2a63107_1589962727082642732.jpg,25000,4.4,37.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,45.0,True,11:00-15:30 16:30-23:00,11:00-15:30 16:30-23:00,11:00-15:30 16:30-23:00,11:00-15:30 16:30-23:00,11:00-15:30 16:30-23:00,11:00-15:30 16:30-23:00,11:00-15:30 16:30-23:00,11:00-15:30 16:30-23:00,,Asian,Same Prices In-Store,BBQ,Korean,,Livraison et à emporter
