id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
SGDD01085,Texas Chicken,Texas Chicken - VivoCity,Singapore,SGD,570.0,1.2647917455551152,103.82210285559164,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01085/hero/1ce95a3ecd694fc08a9ccfe7bc0fad49_1615965648324330056.jpeg,5000,3.8,1591.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,43.0,True,10:30-21:30,10:30-21:30,10:30-21:15,10:30-21:15,10:30-21:15,10:30-21:15,10:30-21:15,10:30-21:30,,Western,Fast Food,Halal,Chicken,Beverages,Livraison uniquement
4-CY3TEKXEVCN1J6,Burger King,Burger King - VivoCity,Singapore,SGD,560.0,1.2637407934423948,103.82135428346544,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY3TEKXEVCN1J6/hero/435363c9a4bf4ef7b7a8a5438189b106_1622520952960529649.jpeg,5000,4.1,389.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,41.0,True,09:00-21:45,10:30-21:45,10:30-21:45,10:30-21:45,10:30-21:45,10:30-21:45,10:30-21:45,09:00-21:45,,American,Burger,Halal,,,Livraison uniquement
4-C2KYHACHNNXJL6,The Original Boat Noodle,The Original Boat Noodle - Vivo City,Singapore,SGD,710.0,1.26418416648211,103.82135912096942,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KYHACHNNXJL6/hero/365859f903c34b7095e66e57eedfc3f2_1613542623350759518.jpeg,5000,3.5,34.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,46.0,True,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,,Asian,Beverages,Halal,Noodles,,Livraison et à emporter
4-CY2ZEXD1C3KUEA,Japanese Cuisine,Japanese Cuisine - Vivocity,Singapore,SGD,560.0,1.26467666875,103.8212361,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY2ZEXD1C3KUEA/hero/b4ebf61ae2a0473586331dc1059008bd_1571625080328029053.jpg,5000,4.4,208.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,38.0,True,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,,Japanese,Seafood,Halal,,,Livraison et à emporter
4-CZKCWFVHGBCDRN,Pho Vietnam,Pho Vietnam - Vivocity,Singapore,SGD,560.0,1.2646911147433997,103.82131125659907,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKCWFVHGBCDRN/hero/5c553a5e342144ceb9f8cd962a3b2eb7_1592299650612805677.jpg,5000,4.4,109.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,38.0,True,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,,Asian,Vietnamese,Halal,,,Livraison et à emporter
SGDD09383,Seoul Garden Hot Pot,Seoul Garden Hot Pot - Harbourfront Centre,Singapore,SGD,570.0,1.2648091689492134,103.82017991932696,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09383/hero/64828a671a5447efa38c37ad5a893fff_1597219095227889997.jpeg,3000,4.4,339.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,41.0,True,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,,Korean,Asian,Halal,Local,,Livraison et à emporter
SGDD03105,Tuk Tuk Cha,Tuk Tuk Cha - HarbourFront Centre,Singapore,SGD,820.0,1.264859052134241,103.82017240886108,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD03105/hero/5ec7d68f71d84d3ba2e87a9f118a04d7_1613531189378219649.jpeg,5000,4.3,742.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,42.0,True,10:30-21:15,10:30-21:15,11:00-21:15,10:30-21:15,11:00-21:15,11:00-21:15,11:00-21:15,10:30-21:15,,Asian,Thai,Halal,Beverages,,Livraison et à emporter
SGDD04982,McDonald's,McDonald's - HarbourFront Center,Singapore,SGD,680.0,1.2648520469665523,103.82027000188826,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD04982/hero/14b83a2c35a848cf8275fdb22b9fd074_1622082281980735514.jpeg,5000,4.4,3300.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,32.0,True,07:00-22:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-22:45,07:00-22:45,,Chicken,Fast Food,Halal,Burger,,Livraison uniquement
4-C2EHTKNTR3LDR2,Wang Nasi Lemak Kukus,Wang Nasi Lemak Kukus - Safra Clubhouse (Mount Faber),Singapore,SGD,610.0,1.2775795714285714,103.81737056572383,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EHTKNTR3LDR2/hero/fc84d063be3642b19bf2b2ecb4619b00_1609343230335375079.jpeg,3000,4.3,278.0,DELIVERY_TAKEAWAY,Free Delivery capped at $3 (min spend $30.00),FOOD,GRAB,43.0,True,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,Asian,Local,Halal,,,Livraison et à emporter
4-CYVKWCCDRGMWEN,Chicky Fun Chicken Rice,Chicky Fun Chicken Rice - Singapore General Hospital,Singapore,SGD,640.0,1.2798012328890709,103.83430624173582,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYVKWCCDRGMWEN/hero/f0c732938b664717845ba0a466faecd8_1567569994282964820.jpeg,5000,4.3,156.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,42.0,True,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,,Chicken,Chinese,Halal,Asian,Local,Livraison et à emporter
