id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
4-C2L2AKNYEENBVX,Heytea,HEYTEA Vivo City [Islandwide Delivery],Singapore,SGD,730.0,1.2638843019529418,103.82220139872652,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2L2AKNYEENBVX/hero/42b723d17d2a4fcdb77dbe69cb249bdb_1622077801337550098.jpeg,25000,4.6,103.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,45.0,True,11:00-22:00,11:00-22:00,12:00-21:20,12:00-21:20,12:00-21:30,12:00-21:20,11:00-21:50,11:00-22:00,,Beverages,Bubble Tea,Coffee & Tea,Dessert,,Livraison et à emporter
4-CYNKN8BEVKAXG6,Putien,Putien - Vivocity,Singapore,SGD,570.0,1.2642253097584586,103.82226106726932,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNKN8BEVKAXG6/hero/dd6113314f624b3fa73cd83b04a84940_1617085855367583627.jpg,5000,4.4,290.0,DELIVERY_TAKEAWAY,⚡ Bundle Deals Available!,FOOD,GRAB,42.0,True,11:30-15:00 15:00-20:30,11:30-15:30 17:30-21:00,11:30-14:00 17:30-21:00,11:30-14:00 17:30-21:00,11:30-14:00 17:30-21:00,11:30-14:00 17:30-21:00,11:30-14:00 17:30-21:00,11:30-15:30 17:30-21:00,,Asian,Noodles,Dessert,,,Livraison et à emporter
4-CZB2E66WECA3R6,Brotzeit,Brotzeit - Vivo City,Singapore,SGD,560.0,1.264058177299077,103.82125428772171,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZB2E66WECA3R6/hero/d94469f942c64145aaceb808fc30cbbd_1584610471858785537.jpeg,5000,4.4,51.0,DELIVERY_TAKEAWAY,15% off with S$30.00 min. order,FOOD,GRAB,43.0,True,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,,Western,Grill,Dessert,,,Livraison et à emporter
4-CZLACENHT2NKV2,Rive Gauche,Rive Gauche - Vivo City,Singapore,SGD,570.0,1.2647812,103.8220022,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLACENHT2NKV2/hero/4bcf1c4fe17e4118ad37d93d8ceded44_1594016285429789829.jpeg,5000,5.0,22.0,ONLY_DELIVERY,,MART,GRAB,36.0,True,11:00-20:15,11:00-20:15,11:00-20:15,11:00-20:15,11:00-20:15,11:00-20:15,11:00-20:15,11:00-20:15,,Bakery & Cake,Mart,Dessert,Snacks,,Livraison uniquement
4-C2TTLVMCGJDGGJ,Ah Mah Homemade Cake,Ah Mah Homemade Cake - VivoCity,Singapore,SGD,570.0,1.26507360894666,103.822734927808,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TTLVMCGJDGGJ/hero/1f273426b38f4c1ba8ab3e3c527c86f1_1621065130693767793.jpeg,5000,4.5,2.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,44.0,True,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,,Bakery & Cake,Cake,Dessert,Taiwanese,,Livraison et à emporter
4-CZEYGGAJNBUDRT,Candylicious,Candylicious - Resorts World Sentosa [Islandwide Delivery],Singapore,SGD,850.0,1.256744298153796,103.820535,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEYGGAJNBUDRT/hero/f837aa6f988f409291f672620a406f26_1589532136036756526.jpeg,10000,4.7,59.0,ONLY_DELIVERY,,MART,GRAB,42.0,True,10:00-18:30,10:00-18:30,Closed,Closed,Closed,Closed,10:00-18:30,10:00-18:30,,Mart,Islandwide Delivery,Chocolate,Snacks,Mom & Kids,Livraison uniquement
4-CYTKLXEZALNJAN,The Coffee Bean & Tea Leaf,The Coffee Bean & Tea Leaf - Vivocity,Singapore,SGD,550.0,1.2649063812103662,103.82184847650764,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTKLXEZALNJAN/hero/7bdcf179bbe145d79bb0e7543e0a96bd_1620718571082811710.jpeg,5000,4.4,120.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,40.0,True,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,,Beverages,Pasta,Dessert,Snack,Halal,Livraison et à emporter
4-C2TTNJMYDCJUR2,The Pup's Boutique,The Pup's Boutique - Silat Avenue,Singapore,SGD,580.0,1.27722,103.83106,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TTNJMYDCJUR2/hero/44173c4a5d6945339e9538b37889ebec_1621125135249179328.jpeg,5000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,32.0,True,11:00-19:00,11:00-19:00,Closed,Closed,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,,Asian,Bakery & Cake,Coffee & Tea,Pasta,Pet Food,Livraison et à emporter
4-CZDTAXMGJY4FEJ,Co+Nut+Ink,Co+Nut+Ink - Siloso Point Station,Singapore,SGD,1050.0,1.2573624,103.81119781785108,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDTAXMGJY4FEJ/hero/f7c5790623b345f995c45a8066b92908_1593075673877505172.jpeg,4000,4.6,10.0,ONLY_DELIVERY,,MART,GRAB,41.0,True,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,,Mart,Ice Cream,Dessert,Beverages,Snacks,Livraison uniquement
SGDD05565,Baskin Robbins,Baskin Robbins - Harbourfront Centre,Singapore,SGD,560.0,1.2642309214142038,103.82019447609096,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05565/hero/7cf2e7b9ede943e0a2ddf6daf4e13c5a_1602564105659372801.jpeg,3000,4.6,95.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,38.0,True,12:00-21:30,12:00-21:30,12:00-21:30,12:00-21:30,12:00-21:30,12:00-21:30,12:00-21:30,12:00-21:30,,Dessert,Bakery,Ice Cream,Cake,Kids Friendly,Livraison et à emporter
